ms_zoning,lot_frontage,lot_area,street,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,saleprice,pid_1,pid_2
RL,71.0,9254,Pave,1,Lvl,AllPub,Inside,0,NridgHt,Norm,Norm,1Fam,1Story,8,5,2005,2005,Gable,CompShg,VinylSd,BrkFace,210.0,4,3,PConc,4,3,0,6,119.0,1,0.0,1602.0,1721.0,GasA,5,Y,SBrkr,1721,0,0,1721,1.0,0.0,2,0,3,1,4,7,7,0,0,Attchd,2005.0,2,2.0,554.0,3,3,Y,168,27,0,0,0,0,0,NONE,NONE,0,1,2007,WD ,232698,5,28
RL,95.0,10324,Pave,1,Lvl,AllPub,Corner,0,CollgCr,Norm,Norm,1Fam,1Story,8,5,2008,2008,Gable,CompShg,VinylSd,BrkFace,140.0,4,3,PConc,4,3,2,6,872.0,1,0.0,382.0,1254.0,GasA,5,Y,SBrkr,1254,0,0,1254,1.0,0.0,2,0,2,1,4,5,7,0,0,Attchd,2008.0,2,3.0,810.0,3,3,Y,168,92,0,0,0,0,0,NONE,NONE,0,3,2009,WD ,221800,9,06
RL,63.0,8375,Pave,0,Lvl,AllPub,Corner,0,Sawyer,Norm,Norm,1Fam,1.5Fin,5,7,1941,1973,Gable,CompShg,Wd Sdng,None,0.0,3,3,BrkTil,3,3,0,5,336.0,1,0.0,240.0,576.0,GasA,4,Y,SBrkr,864,486,0,1350,1.0,0.0,1,1,2,1,4,6,6,0,0,2Types,1973.0,1,3.0,627.0,3,3,N,0,0,0,0,0,0,0,MnPrv,NONE,0,6,2008,WD ,152400,9,05
RL,75.0,9750,Pave,0,Lvl,AllPub,Inside,0,CollgCr,Norm,Norm,1Fam,1Story,7,5,2000,2001,Gable,CompShg,VinylSd,BrkFace,171.0,4,3,PConc,4,3,0,1,0.0,1,0.0,1630.0,1630.0,GasA,5,Y,SBrkr,1630,0,0,1630,0.0,0.0,2,0,3,1,4,6,7,1,3,Attchd,2000.0,1,2.0,451.0,3,3,Y,74,234,0,0,0,0,0,NONE,NONE,0,10,2009,WD ,213000,9,07
RL,74.0,7632,Pave,1,Lvl,AllPub,Inside,0,SawyerW,Norm,Norm,1Fam,2Story,7,5,2005,2005,Gable,CompShg,VinylSd,BrkFace,96.0,4,3,PConc,4,3,0,1,0.0,1,0.0,784.0,784.0,GasA,5,Y,SBrkr,831,754,0,1585,0.0,0.0,2,1,3,1,4,7,7,0,0,Attchd,2005.0,2,2.0,449.0,3,3,Y,100,77,0,0,0,0,0,NONE,NONE,0,3,2006,WD ,184900,5,31
RL,90.0,15750,Pave,0,Lvl,AllPub,Corner,0,Crawfor,Norm,Norm,2fmCon,1Story,5,5,1953,1953,Hip,CompShg,MetalSd,BrkFace,56.0,3,3,CBlock,3,3,1,4,841.0,1,0.0,324.0,1165.0,GasA,3,Y,SBrkr,1336,0,0,1336,1.0,0.0,1,0,2,1,3,5,7,2,4,Attchd,1953.0,1,1.0,375.0,3,3,Y,0,0,0,0,0,0,0,NONE,NONE,0,6,2006,WD ,157000,9,09
RL,74.03590474119858,9240,Pave,1,Lvl,AllPub,Inside,0,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,2002,Hip,CompShg,HdBoard,None,0.0,3,3,CBlock,3,3,0,4,612.0,1,0.0,252.0,864.0,GasA,4,Y,SBrkr,1211,0,0,1211,0.0,0.0,1,0,2,1,3,6,6,1,3,Detchd,1972.0,1,2.0,576.0,3,3,Y,161,0,0,0,0,0,0,MnPrv,NONE,0,3,2006,WD ,144000,5,32
RL,80.0,10400,Pave,0,Lvl,AllPub,Inside,0,NWAmes,Norm,Norm,1Fam,1Story,6,5,1979,1999,Gable,CompShg,MetalSd,BrkFace,253.0,3,3,CBlock,4,3,0,6,903.0,1,0.0,356.0,1259.0,GasA,5,Y,SBrkr,1353,0,0,1353,1.0,0.0,2,0,2,1,3,5,7,1,3,Attchd,1979.0,2,2.0,478.0,3,3,Y,240,141,0,0,0,0,0,NONE,NONE,0,8,2007,WD ,192350,5,27
RL,80.0,8800,Pave,0,Lvl,AllPub,Inside,0,NAmes,Norm,Norm,1Fam,1Story,7,6,1966,1966,Hip,CompShg,HdBoard,BrkFace,202.0,3,3,CBlock,3,3,0,4,654.0,1,0.0,520.0,1174.0,GasA,5,Y,SBrkr,1200,0,0,1200,0.0,1.0,2,0,3,1,3,6,7,1,3,Attchd,1966.0,2,2.0,440.0,3,3,Y,0,0,0,0,0,0,0,MnPrv,NONE,0,10,2007,CWD,163500,5,34
RL,86.0,11839,Pave,0,Lvl,AllPub,Inside,0,SawyerW,Norm,Norm,1Fam,2Story,7,5,1990,1990,Hip,CompShg,HdBoard,BrkFace,99.0,3,3,PConc,4,3,0,6,1085.0,1,0.0,390.0,1475.0,GasA,5,Y,SBrkr,1532,797,0,2329,1.0,0.0,2,1,4,1,4,10,7,1,5,Attchd,1990.0,1,2.0,514.0,3,3,Y,192,121,0,0,0,0,0,NONE,NONE,0,5,2008,WD ,262280,9,06
RL,70.0,9135,Pave,0,Lvl,AllPub,Inside,0,CollgCr,Norm,Norm,1Fam,1Story,7,5,2002,2003,Gable,CompShg,VinylSd,BrkFace,113.0,4,3,PConc,4,3,2,6,810.0,1,0.0,726.0,1536.0,GasA,5,Y,SBrkr,1536,0,0,1536,1.0,0.0,2,0,3,1,4,7,7,0,0,Attchd,2002.0,2,2.0,532.0,3,3,Y,192,74,0,0,0,0,0,NONE,NONE,0,12,2008,WD ,214000,9,07
RL,90.0,14115,Pave,1,Lvl,AllPub,Inside,0,Crawfor,Norm,Norm,1Fam,1Story,6,7,1956,2004,Gable,CompShg,Stone,None,0.0,3,3,PConc,3,3,0,5,296.0,6,547.0,230.0,1073.0,GasA,5,Y,SBrkr,1811,0,0,1811,0.0,0.0,1,0,2,1,5,6,7,1,4,Attchd,1956.0,3,2.0,470.0,3,3,Y,0,0,280,0,0,0,0,NONE,NONE,0,7,2006,WD ,230000,9,09
RL,109.0,14154,Pave,0,Lvl,AllPub,Corner,0,NridgHt,Norm,Norm,1Fam,2Story,7,5,2006,2006,Gable,CompShg,VinylSd,BrkFace,350.0,4,3,PConc,5,4,0,1,0.0,1,0.0,1063.0,1063.0,GasA,5,Y,SBrkr,1071,1101,0,2172,0.0,0.0,2,1,3,1,4,9,7,1,4,Attchd,2006.0,2,3.0,947.0,3,3,Y,192,62,0,0,0,0,0,NONE,NONE,0,8,2007,New,280000,5,28
C (all),65.0,6565,Pave,0,Lvl,AllPub,Corner,0,IDOTRR,Norm,Norm,1Fam,1Story,4,6,1957,1980,Gable,CompShg,MetalSd,None,0.0,3,3,CBlock,3,3,0,6,967.0,1,0.0,106.0,1073.0,GasA,4,Y,FuseA,1073,0,0,1073,1.0,0.0,1,0,3,1,3,6,7,0,0,Detchd,1985.0,1,2.0,720.0,3,3,Y,0,444,0,0,0,0,0,NONE,NONE,0,8,2007,WD ,140000,9,11
RL,70.0,7700,Pave,0,Lvl,AllPub,Inside,0,NAmes,PosN,Norm,1Fam,2Story,6,5,1966,1966,Gable,CompShg,MetalSd,BrkFace,351.0,3,3,CBlock,3,3,0,1,0.0,1,0.0,756.0,756.0,GasA,3,Y,SBrkr,1051,788,0,1839,0.0,0.0,1,1,4,1,3,7,7,1,3,Attchd,1966.0,1,2.0,442.0,3,3,Y,0,124,216,0,0,0,0,NONE,NONE,0,6,2010,WD ,155000,5,35
C (all),63.0,4761,Pave,0,Lvl,AllPub,Corner,0,IDOTRR,Norm,Norm,1Fam,1.5Unf,3,3,1918,1950,Gable,CompShg,Wd Sdng,None,0.0,2,2,BrkTil,3,2,0,1,0.0,1,0.0,1020.0,1020.0,GasA,2,N,FuseP,1020,0,0,1020,0.0,0.0,1,0,2,1,2,5,7,0,0,NONE,0.0,0,0.0,0.0,0,0,N,0,0,105,0,0,0,0,NONE,NONE,0,10,2006,ConLD,64500,9,02
RL,87.0,12361,Pave,1,Lvl,AllPub,CulDSac,0,SawyerW,Norm,Norm,1Fam,2Story,6,7,1993,1993,Gable,CompShg,VinylSd,BrkFace,85.0,4,4,PConc,4,3,0,6,860.0,1,0.0,86.0,946.0,GasA,5,Y,SBrkr,964,838,0,1802,0.0,1.0,2,1,3,1,4,8,7,1,4,2Types,2000.0,2,4.0,1017.0,3,3,Y,450,92,0,0,0,0,0,NONE,NONE,0,5,2010,WD ,218000,9,06
RL,72.0,9720,Pave,0,Lvl,AllPub,Inside,0,CollgCr,Norm,Norm,1Fam,SLvl,5,7,1977,1977,Gable,CompShg,Plywood,BrkFace,51.0,3,3,CBlock,3,5,2,5,755.0,1,0.0,240.0,995.0,GasA,3,Y,SBrkr,1009,0,0,1009,0.0,0.0,2,0,3,1,3,6,7,1,2,Detchd,1977.0,1,2.0,576.0,3,3,Y,0,0,0,0,0,0,0,MnPrv,NONE,0,6,2007,WD ,160000,9,07
FV,72.0,8640,Pave,0,Lvl,AllPub,Inside,0,Somerst,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,None,0.0,4,3,PConc,4,3,0,6,24.0,1,0.0,1314.0,1338.0,GasA,5,Y,SBrkr,1338,0,0,1338,0.0,0.0,2,0,3,1,4,6,7,0,0,Attchd,2007.0,2,2.0,598.0,3,3,Y,0,141,0,0,0,0,0,NONE,NONE,0,11,2007,New,208900,5,28
RL,123.0,47007,Pave,1,Lvl,AllPub,Inside,0,Edwards,Norm,Norm,1Fam,1Story,5,7,1959,1996,Gable,CompShg,Plywood,None,0.0,3,3,Slab,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,3,Y,SBrkr,3820,0,0,3820,0.0,0.0,3,1,5,1,5,11,7,2,4,Attchd,1959.0,1,2.0,624.0,3,3,Y,0,372,0,0,0,0,0,NONE,NONE,0,7,2008,WD ,284700,9,08
FV,30.0,3180,Pave,0,Lvl,AllPub,Inside,0,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2007,2007,Gable,CompShg,VinylSd,None,0.0,4,3,PConc,4,3,0,1,0.0,1,0.0,689.0,689.0,GasA,5,Y,SBrkr,703,689,0,1392,0.0,0.0,2,0,2,1,4,5,7,0,0,Detchd,2007.0,1,2.0,540.0,3,3,Y,0,102,0,0,0,0,0,NONE,NONE,0,3,2008,WD ,146000,5,33
RL,38.0,14963,Pave,2,Lvl,AllPub,Inside,0,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1996,1996,Gable,CompShg,BrkFace,None,0.0,4,3,PConc,4,3,0,6,786.0,1,0.0,474.0,1260.0,GasA,5,Y,SBrkr,1288,0,0,1288,1.0,0.0,1,1,1,1,5,4,7,2,4,Attchd,1996.0,3,2.0,500.0,3,3,Y,120,30,0,0,224,0,0,NONE,NONE,0,12,2008,WD ,245500,5,33
RM,50.0,5000,Pave,0,Bnk,AllPub,Inside,1,BrkSide,Norm,Norm,1Fam,1.5Unf,6,7,1926,1950,Gable,CompShg,MetalSd,None,0.0,3,3,BrkTil,3,3,0,1,0.0,1,0.0,992.0,992.0,GasA,5,Y,SBrkr,1013,0,0,1013,0.0,0.0,1,0,3,1,3,6,7,0,0,Detchd,1926.0,1,1.0,160.0,2,3,Y,0,0,101,0,0,0,0,NONE,NONE,0,4,2008,WD ,113000,9,03
RL,129.0,16870,Pave,1,Lvl,AllPub,FR3,0,NridgHt,Norm,Norm,1Fam,1Story,8,5,2004,2005,Hip,CompShg,VinylSd,BrkFace,238.0,4,3,PConc,5,3,3,6,1531.0,1,0.0,251.0,1782.0,GasA,5,Y,SBrkr,1782,0,0,1782,1.0,0.0,2,0,3,1,4,7,7,2,4,Attchd,2004.0,3,3.0,932.0,3,3,Y,99,82,0,0,0,0,0,NONE,NONE,0,4,2009,WD ,296000,5,28
RL,86.0,14157,Pave,1,HLS,AllPub,Corner,0,StoneBr,Norm,Norm,1Fam,1Story,9,5,2005,2006,Hip,CompShg,VinylSd,Stone,200.0,4,3,PConc,5,3,3,6,1249.0,1,0.0,673.0,1922.0,GasA,5,Y,SBrkr,1922,0,0,1922,1.0,0.0,2,0,3,1,4,8,7,1,4,Attchd,2005.0,3,3.0,676.0,3,3,Y,178,51,0,0,0,0,0,NONE,NONE,0,7,2007,WD ,377426,5,27
RL,96.0,12456,Pave,0,Lvl,AllPub,FR2,0,NridgHt,Norm,Norm,1Fam,1Story,10,5,2006,2007,Hip,CompShg,CemntBd,Stone,230.0,5,3,PConc,5,3,3,6,1172.0,1,0.0,528.0,1700.0,GasA,5,Y,SBrkr,1718,0,0,1718,1.0,0.0,2,0,3,1,5,7,7,1,4,Attchd,2008.0,3,3.0,786.0,3,3,Y,216,48,0,0,0,0,0,NONE,NONE,0,7,2009,WD ,337500,5,28
RL,100.0,14836,Pave,1,HLS,AllPub,Inside,1,NridgHt,Norm,Norm,1Fam,1Story,10,5,2004,2005,Hip,CompShg,CemntBd,Stone,730.0,5,3,PConc,5,3,3,6,2146.0,1,0.0,346.0,2492.0,GasA,5,Y,SBrkr,2492,0,0,2492,1.0,0.0,2,1,2,1,5,8,7,1,5,Attchd,2004.0,3,3.0,949.0,3,3,Y,226,235,0,0,0,0,0,NONE,NONE,0,2,2009,WD ,552000,5,28
RL,56.0,6956,Pave,0,Lvl,AllPub,Inside,0,Edwards,Norm,Norm,1Fam,1.5Fin,4,7,1948,1950,Gable,CompShg,VinylSd,None,0.0,3,4,CBlock,2,3,1,1,0.0,1,0.0,624.0,624.0,GasA,5,Y,SBrkr,624,312,0,936,0.0,0.0,1,0,3,1,3,5,7,0,0,Attchd,1948.0,1,1.0,265.0,3,1,Y,0,0,0,0,0,0,0,NONE,NONE,0,4,2006,WD ,97900,9,08
FV,75.0,7862,Pave,1,Lvl,AllPub,Inside,0,Somerst,Norm,Norm,1Fam,1Story,6,5,2009,2009,Gable,CompShg,VinylSd,None,0.0,4,3,PConc,4,3,0,6,27.0,1,0.0,1191.0,1218.0,GasA,5,Y,SBrkr,1218,0,0,1218,0.0,0.0,2,0,2,1,4,4,7,0,0,Attchd,2009.0,3,2.0,676.0,3,3,Y,0,102,0,0,0,0,0,NONE,NONE,0,9,2009,New,208300,5,28
RL,88.53860902491822,11050,Pave,0,Lvl,AllPub,Inside,0,Mitchel,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,None,0.0,3,3,PConc,4,3,1,1,0.0,1,0.0,910.0,910.0,GasA,5,Y,SBrkr,910,910,0,1820,0.0,0.0,2,1,3,1,4,8,7,1,3,Attchd,1996.0,1,3.0,816.0,3,3,Y,318,32,0,0,0,0,0,NONE,NONE,0,9,2008,WD ,213000,9,14
RL,57.0,8924,Pave,1,Lvl,AllPub,CulDSac,0,CollgCr,Norm,Norm,1Fam,2Story,7,5,1998,1999,Gable,CompShg,VinylSd,None,0.0,3,3,PConc,4,3,2,1,0.0,1,0.0,880.0,880.0,GasA,5,Y,SBrkr,880,844,0,1724,0.0,0.0,2,1,3,1,4,8,7,0,0,Attchd,1998.0,3,2.0,527.0,3,3,Y,120,155,0,0,0,0,0,NONE,NONE,0,7,2008,WD ,188000,9,07
RL,81.73974811795371,9610,Pave,1,Lvl,AllPub,Corner,0,NAmes,Feedr,Norm,1Fam,1Story,6,6,1958,1958,Hip,CompShg,Wd Sdng,BrkFace,632.0,3,3,CBlock,3,3,0,3,203.0,1,0.0,918.0,1121.0,GasA,5,Y,FuseA,1336,0,0,1336,0.0,0.0,1,1,3,1,3,7,7,1,3,Attchd,1958.0,2,2.0,488.0,3,3,Y,80,0,0,0,0,0,0,NONE,NONE,0,12,2006,WD ,162000,5,35
RM,75.0,13710,Pave,0,Lvl,AllPub,Inside,0,IDOTRR,Norm,Norm,1Fam,1.5Fin,5,5,1950,1950,Gable,CompShg,Wd Sdng,None,0.0,3,3,CBlock,3,3,0,4,420.0,1,0.0,490.0,910.0,GasA,3,Y,FuseA,910,648,0,1558,0.0,0.0,1,1,4,1,3,6,7,0,0,Attchd,1950.0,1,1.0,282.0,3,3,Y,289,0,0,0,0,0,0,MnPrv,NONE,0,6,2007,WD ,152000,9,10
FV,100.0,12552,Pave,0,Lvl,AllPub,Corner,0,Somerst,Norm,Norm,1Fam,2Story,7,5,2004,2005,Gable,CompShg,VinylSd,None,0.0,4,3,PConc,4,3,0,6,222.0,1,0.0,769.0,991.0,GasA,5,Y,SBrkr,991,956,0,1947,0.0,0.0,2,1,3,1,4,8,7,1,4,Attchd,2004.0,2,2.0,678.0,3,3,Y,0,136,0,0,0,0,0,GdWo,NONE,0,5,2010,WD ,254900,5,28
RL,43.0,14565,Pave,2,Lvl,AllPub,CulDSac,0,SawyerW,Norm,Norm,1Fam,2Story,7,5,1994,1995,Gable,CompShg,VinylSd,BrkFace,145.0,4,3,PConc,4,3,2,6,537.0,1,0.0,295.0,832.0,GasA,5,Y,SBrkr,832,825,0,1657,0.0,0.0,2,1,3,1,4,6,7,0,0,Attchd,1994.0,2,2.0,483.0,3,3,Y,144,74,0,0,0,0,0,NONE,Shed,2000,11,2008,WD ,189000,5,31
RL,56.0,18559,Pave,1,Lvl,AllPub,CulDSac,0,NWAmes,Norm,Norm,1Fam,1Story,7,5,1978,1978,Hip,CompShg,Plywood,BrkFace,383.0,4,4,CBlock,4,3,0,6,1206.0,3,186.0,656.0,2048.0,GasA,3,Y,SBrkr,2064,0,0,2064,1.0,0.0,2,0,3,1,4,7,7,2,2,Attchd,1978.0,3,2.0,550.0,3,3,Y,200,0,0,0,0,0,0,NONE,NONE,0,8,2008,WD ,235000,5,27
RL,68.0,10880,Pave,0,Lvl,AllPub,Inside,0,Edwards,Norm,Norm,2fmCon,1Story,5,5,1950,1950,Gable,CompShg,MetalSd,None,0.0,3,3,CBlock,3,3,0,5,1040.0,1,0.0,124.0,1164.0,GasW,3,N,SBrkr,1164,0,0,1164,1.0,0.0,1,0,3,1,3,5,7,0,0,Detchd,1950.0,1,1.0,240.0,3,3,Y,0,48,0,0,0,0,0,NONE,NONE,0,8,2008,ConLD,125000,9,05
RL,24.0,2280,Pave,0,Lvl,AllPub,FR2,0,NPkVill,Norm,Norm,Twnhs,1Story,7,6,1975,1975,Gable,CompShg,Plywood,None,0.0,3,3,CBlock,4,3,0,1,0.0,1,0.0,836.0,836.0,GasA,5,Y,SBrkr,836,0,0,836,0.0,0.0,1,0,2,1,3,4,7,0,0,Attchd,1975.0,1,1.0,308.0,3,3,Y,0,30,0,0,0,0,0,NONE,NONE,0,6,2010,WD ,120000,5,27
A (agr),125.0,31250,Pave,0,Lvl,AllPub,Inside,0,Mitchel,Artery,Norm,1Fam,1Story,1,3,1951,1951,Gable,CompShg,CBlock,None,0.0,3,2,CBlock,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,3,Y,FuseA,1600,0,0,1600,0.0,0.0,1,1,3,1,3,6,4,0,0,Attchd,1951.0,1,1.0,270.0,2,3,N,0,0,135,0,0,0,0,NONE,NONE,0,5,2006,WD ,81500,9,23
RL,81.0,11841,Grvl,0,Lvl,AllPub,Inside,0,Edwards,Norm,Norm,Duplex,SFoyer,6,5,1990,1990,Gable,CompShg,HdBoard,BrkFace,104.0,3,4,CBlock,4,3,2,6,816.0,1,0.0,0.0,816.0,GasA,3,Y,SBrkr,816,0,0,816,1.0,0.0,1,0,3,1,3,5,7,0,0,NONE,0.0,0,0.0,0.0,0,0,Y,0,32,0,0,0,0,0,NONE,NONE,0,5,2007,WD ,118500,9,08
FV,85.0,9187,Pave,0,Lvl,AllPub,Inside,0,Somerst,Norm,Norm,1Fam,1Story,9,5,2009,2009,Gable,CompShg,CemntBd,Stone,162.0,5,3,PConc,5,3,1,6,1121.0,1,0.0,645.0,1766.0,GasA,5,Y,SBrkr,1766,0,0,1766,1.0,0.0,2,1,2,1,5,7,7,1,4,Attchd,2009.0,3,3.0,478.0,3,3,Y,195,130,0,0,0,0,0,NONE,NONE,0,10,2009,New,370878,5,28
RH,82.0,6270,Pave,0,HLS,AllPub,Inside,0,Crawfor,Norm,Norm,Duplex,2Story,5,6,1949,1950,Gable,CompShg,MetalSd,None,0.0,3,3,CBlock,3,3,0,4,284.0,1,0.0,717.0,1001.0,GasA,3,N,FuseA,1001,1001,0,2002,0.0,0.0,2,0,4,2,3,8,7,0,0,2Types,1949.0,1,3.0,871.0,3,3,Y,0,0,0,0,0,0,0,NONE,NONE,0,8,2007,WD ,145000,9,09
RL,133.19921493518783,15660,Pave,1,Lvl,AllPub,Corner,0,Crawfor,Norm,Norm,1Fam,1.5Fin,7,9,1939,2006,Gable,CompShg,VinylSd,BrkFace,312.0,4,4,CBlock,3,3,0,4,341.0,1,0.0,457.0,798.0,GasA,5,Y,SBrkr,1137,817,0,1954,0.0,1.0,1,1,3,1,4,8,7,2,3,Attchd,1939.0,1,2.0,431.0,3,3,Y,0,119,150,0,0,0,0,NONE,NONE,0,5,2008,WD ,311500,9,09
RL,43.0,3087,Pave,0,Lvl,AllPub,Inside,0,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,BrkFace,14.0,4,3,PConc,4,3,2,6,453.0,1,0.0,767.0,1220.0,GasA,5,Y,SBrkr,1364,0,0,1364,1.0,0.0,2,0,2,1,4,6,7,1,4,Attchd,2006.0,3,2.0,437.0,3,3,Y,100,16,0,0,0,0,0,NONE,NONE,0,11,2006,New,210250,5,28
RL,95.0,13450,Pave,1,Lvl,AllPub,Corner,0,CollgCr,Norm,Norm,1Fam,2Story,7,5,2002,2002,Gable,CompShg,VinylSd,None,0.0,4,3,PConc,4,3,0,6,700.0,1,0.0,216.0,916.0,GasA,5,Y,SBrkr,920,941,0,1861,1.0,0.0,2,1,3,1,4,8,7,0,0,BuiltIn,2002.0,2,2.0,492.0,3,3,Y,146,91,0,0,0,0,0,NONE,NONE,0,6,2006,WD ,200000,9,07
RL,75.0,10125,Pave,0,Lvl,AllPub,Inside,0,Mitchel,Norm,Norm,Duplex,1.5Fin,5,5,1977,1977,Gable,CompShg,Plywood,None,0.0,3,3,CBlock,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,3,Y,SBrkr,1302,432,0,1734,0.0,0.0,2,0,4,2,4,8,7,0,0,Attchd,1977.0,1,2.0,539.0,3,3,Y,0,0,0,0,0,0,0,NONE,NONE,0,8,2009,COD,126000,9,14
RL,80.0,8146,Pave,0,Lvl,AllPub,Corner,0,OldTown,Norm,Norm,1Fam,2Story,4,8,1900,2003,Gable,CompShg,MetalSd,None,0.0,4,4,BrkTil,2,3,0,1,0.0,1,0.0,405.0,405.0,GasA,4,Y,SBrkr,717,322,0,1039,0.0,0.0,1,0,2,1,3,6,7,0,0,Detchd,1940.0,1,1.0,281.0,3,3,N,0,0,168,0,111,0,0,NONE,NONE,0,5,2009,WD ,114000,5,35
RM,60.0,9600,Pave,0,Lvl,AllPub,Inside,0,OldTown,Norm,Norm,1Fam,2Story,4,4,1910,1950,Gable,CompShg,VinylSd,None,0.0,4,4,BrkTil,2,3,0,1,0.0,1,0.0,677.0,677.0,GasA,3,Y,SBrkr,833,677,0,1510,0.0,0.0,2,0,3,1,4,7,7,0,0,Detchd,1974.0,1,2.0,720.0,3,3,N,0,0,160,0,0,0,0,NONE,NONE,0,6,2009,WD ,87500,9,02
RL,98.0,12328,Pave,1,Lvl,AllPub,Inside,0,StoneBr,Norm,Norm,1Fam,2Story,8,5,2005,2005,Hip,CompShg,VinylSd,Stone,146.0,4,3,PConc,5,3,1,6,986.0,1,0.0,163.0,1149.0,GasA,5,Y,SBrkr,1164,1377,0,2541,1.0,0.0,3,1,4,1,5,10,7,1,4,BuiltIn,2005.0,3,3.0,729.0,3,3,Y,120,32,0,0,0,0,0,NONE,NONE,0,7,2007,WD ,349265,5,27
RL,76.0,10141,Pave,1,Lvl,AllPub,Inside,0,SawyerW,Norm,Norm,1Fam,1Story,8,5,2004,2004,Gable,Tar&Grv,VinylSd,BrkFace,264.0,4,3,PConc,4,3,3,4,516.0,3,774.0,222.0,1512.0,GasA,5,Y,SBrkr,1512,0,0,1512,0.0,0.0,2,0,3,1,4,6,7,0,0,Attchd,2004.0,2,3.0,845.0,3,3,Y,210,36,0,0,0,0,0,NONE,NONE,0,1,2009,WD ,203000,5,31
RL,65.0,8529,Pave,1,Lvl,AllPub,Inside,0,SawyerW,Norm,Norm,1Fam,1Story,7,5,2001,2001,Gable,CompShg,VinylSd,None,0.0,4,3,PConc,4,3,0,6,20.0,1,0.0,1434.0,1454.0,GasA,5,Y,SBrkr,1434,0,0,1434,0.0,0.0,2,0,3,1,4,6,7,1,3,Attchd,2001.0,2,2.0,527.0,3,3,Y,290,39,0,0,0,0,0,NONE,NONE,0,4,2009,WD ,189000,5,31
FV,65.0,8127,Pave,1,Lvl,AllPub,Inside,0,Somerst,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,None,0.0,4,3,PConc,4,3,0,6,410.0,1,0.0,402.0,812.0,GasA,5,Y,SBrkr,812,841,0,1653,1.0,0.0,2,1,3,1,4,6,7,0,0,Attchd,2003.0,2,2.0,628.0,3,3,Y,0,45,0,0,0,0,0,NONE,NONE,0,3,2009,WD ,209000,5,28
RM,70.0,8400,Pave,0,Lvl,AllPub,Corner,0,OldTown,Artery,Norm,1Fam,2Story,6,7,1900,1950,Gable,CompShg,Stucco,None,0.0,3,3,BrkTil,2,4,1,1,0.0,1,0.0,917.0,917.0,GasA,4,Y,FuseA,1090,917,0,2007,0.0,0.0,2,0,3,1,5,8,7,0,0,Detchd,1930.0,1,1.0,357.0,3,3,Y,0,235,0,0,0,0,0,NONE,NONE,0,6,2009,WD ,160000,9,02
RL,44.0,10751,Pave,1,Lvl,AllPub,CulDSac,0,Sawyer,RRAe,Norm,1Fam,1Story,5,5,1974,1974,Gable,CompShg,Plywood,BrkFace,44.0,3,3,CBlock,2,3,3,5,787.0,1,0.0,250.0,1037.0,GasA,3,Y,SBrkr,1037,0,0,1037,1.0,0.0,1,0,2,1,3,5,7,0,0,Attchd,1974.0,2,2.0,431.0,3,3,Y,136,47,0,0,0,0,0,NONE,NONE,0,8,2007,WD ,129000,5,32
RL,77.0,10010,Pave,0,Lvl,AllPub,Inside,1,Mitchel,Norm,Norm,1Fam,1Story,5,5,1974,1975,Gable,CompShg,HdBoard,None,0.0,3,3,CBlock,4,3,2,5,1071.0,2,123.0,195.0,1389.0,GasA,4,Y,SBrkr,1389,0,0,1389,1.0,0.0,1,0,2,1,3,6,7,1,3,Attchd,1975.0,2,2.0,418.0,3,3,Y,240,38,0,0,0,0,0,NONE,NONE,0,4,2006,WD ,170000,9,24
